"Id. autor","Apellidos","Nombres","Sexo","Año de nacimiento","Año de muerte","Disciplina","Enlaces","Fuentes"
"9406","Fernández Vega","José","H","1965","","Escritura","","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9447","Fernández Villanueva","Julio","H","1858","1890","Artes visuales","","23 pintores de la Argentina. 1810-1900. 1978"
"9409","Ferrer","Christian","H","1960","","Escritura","https://es.wikipedia.org/wiki/Christian_Ferrer","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9410","Ferreti","Aurelio","H","1907","1963","Escritura, Artes escénicas","","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9411","Ferreyra","Gustavo Alejandro","H","1963","","Escritura","https://es.wikipedia.org/wiki/Gustavo_Ferreyra","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9099","Ferreyra","Andrés","H","1863","1928","Escritura","","Diccionario de escritores de la Provincia de Buenos Aires. Coloniales y siglo XIX. 2010"
"9412","Ferreyra Basso","Juan","H","1910","1984","Escritura","","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9450","Ferro","Roberto","H","1944","","Escritura","","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9451","Fidalgo","Andrés","H","1919","2008","Escritura","","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9452","Figueras","Marcelo","H","1962","","Escritura","https://es.wikipedia.org/wiki/Marcelo_Figueras","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9453","Fijman","Jacobo","H","1898","1970","Escritura, Música, Artes visuales","https://es.wikipedia.org/wiki/Jacobo_Fijman","Diccionario de autores latinoamericanos. 2001; Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9676","Fili","Hugo","H","1936","","Audiovisual","http://www.imdb.com/name/nm1164534/; http://www.cinenacional.com/persona/hugo-fili","Cine argentino. Diccionario de realizadores contemporáneos. 1987"
"9677","Filipelli","Rafael","H","1938","","Audiovisual","https://es.wikipedia.org/wiki/Rafael_Filipelli; http://www.imdb.com/name/nm0277039/; http://www.cinenacional.com/persona/rafael-filippelli","Cine argentino. Diccionario de realizadores contemporáneos. 1987"
"9196","Filloy","Juan","H","1894","2000","Escritura","https://es.wikipedia.org/wiki/Juan_Filloy","Diccionario de autores latinoamericanos. 2001; Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9413","Fiorini","Lorenzo","H","1800","1856","Artes visuales","","23 pintores de la Argentina. 1810-1900. 1978"
"9454","Firpo","Norberto","H","1934","","Escritura","","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9678","Fischerman","Alberto","H","1937","1995","Audiovisual","https://es.wikipedia.org/wiki/Alberto_Fischerman; http://www.imdb.com/name/nm0279181/; http://www.cinenacional.com/persona/alberto-fischerman","Cine argentino. Diccionario de realizadores contemporáneos. 1987"
"9455","Fiszman","Mariano","H","1965","","Escritura","","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9456","Flores","Celedonio Esteban","H","1896","1947","Escritura, Música","https://es.wikipedia.org/wiki/Celedonio_Flores","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9457","Flores","Jorge Alejandro","H","1951","","Escritura","","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9100","Flores Belfort","Daniel","H","1834","1876","Escritura","","Diccionario de escritores de la Provincia de Buenos Aires. Coloniales y siglo XIX. 2010"
"9458","Foguet","Hugo","H","1923","1985","Escritura","https://es.wikipedia.org/wiki/Hugo_Foguet","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9459","Fogwill","Rodolfo Enrique","H","1941","2010","Escritura","https://es.wikipedia.org/wiki/Rodolfo_Fogwill; http://www.fundacionkonex.com.ar/b2632-rodolfo_fogwill","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9460","Fondebrider","Jorge","H","1956","","Escritura","https://es.wikipedia.org/wiki/Jorge_Fondebrider","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9664","Fontana","Piero Bruno Hugo","H","1912","1989","Audiovisual","https://es.wikipedia.org/wiki/Hugo_del_Carril; http://www.imdb.com/name/nm0140459/; http://www.cinenacional.com/persona/hugo-del-carril","Cine argentino. Diccionario de realizadores contemporáneos. 1987"
"9101","Fontana","Luis Jorge","H","1846","1920","Escritura","https://es.wikipedia.org/wiki/Luis_Jorge_Fontana","Diccionario de escritores de la Provincia de Buenos Aires. Coloniales y siglo XIX. 2010"
"9461","Fontanarrosa","Roberto Alfredo","H","1944","2007","Escritura, Artes visuales","https://es.wikipedia.org/wiki/Roberto_Fontanarrosa; http://www.fundacionkonex.com.ar/b452-roberto_fontanarrosa","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9102","Foppa","Tito Livio","H","1884","1960","Escritura","","Diccionario de escritores de la Provincia de Buenos Aires. Coloniales y siglo XIX. 2010"
"9462","Ford Von Halle","Aníbal Horacio","H","1934","2009","Escritura","https://es.wikipedia.org/wiki/An%C3%ADbal_Ford","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9463","Forn","Juan","H","1959","","Escritura","https://es.wikipedia.org/wiki/Juan_Forn","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9464","Forster","Ricardo","H","1957","","Escritura","https://es.wikipedia.org/wiki/Ricardo_Forster","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9465","Franceschi","Gustavo Juan","H","1881","1951","Escritura","https://es.wikipedia.org/wiki/Gustavo_Franceschi","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9197","Franco","Luis Leopoldo","H","1898","1988","Escritura","https://es.wikipedia.org/wiki/Luis_Franco","Diccionario de autores latinoamericanos. 2001; Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9103","Franco","Pedro B.","H","1894","1947","Escritura","","Diccionario de escritores de la Provincia de Buenos Aires. Coloniales y siglo XIX. 2010"
"9680","Fregonese","Hugo","H","1908","1987","Audiovisual","https://es.wikipedia.org/wiki/Hugo_Fregonese; http://www.imdb.com/name/nm0293707/; http://www.cinenacional.com/persona/hugo-fregonese","Cine argentino. Diccionario de realizadores contemporáneos. 1987"
"9466","Freidemberg","Daniel","H","1945","","Escritura","","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9467","Freire","Héctor José","H","1953","","Escritura","","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9468","Fresán","Rodrigo","H","1963","","Escritura","https://es.wikipedia.org/wiki/Rodrigo_Fres%C3%A1n","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9104","Fresco","Manuel A.","H","1888","1971","Escritura","https://es.wikipedia.org/wiki/Manuel_Fresco","Diccionario de escritores de la Provincia de Buenos Aires. Coloniales y siglo XIX. 2010"
"9681","Frutos","Mercedes","M","1947","","Audiovisual","http://www.imdb.com/name/nm1096729/; http://www.cinenacional.com/persona/mercedes-frutos","Cine argentino. Diccionario de realizadores contemporáneos. 1987"
"9469","Futoransky","Luisa","M","1939","","Escritura","https://es.wikipedia.org/wiki/Luisa_Futoransky","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9470","Gache","Belén","M","1960","","Escritura","https://es.wikipedia.org/wiki/Bel%C3%A9n_Gache","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9471","Gache","Roberto","H","1891","1966","Escritura","","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9105","Gache","Samuel","H","1859","1907","Escritura","","Diccionario de escritores de la Provincia de Buenos Aires. Coloniales y siglo XIX. 2010"
"9472","Gagliardi","Héctor Francisco","H","1909","1984","Escritura, Música","https://es.wikipedia.org/wiki/H%C3%A9ctor_Gagliardi","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9198","Galán","Raúl","H","1913","1963","Escritura","https://es.wikipedia.org/wiki/Ra%C3%BAl_Gal%C3%A1n","Diccionario de autores latinoamericanos. 2001"
"9520","Galán","Raúl","H","1913","1963","Escritura","https://es.wikipedia.org/wiki/Ra%C3%BAl_Gal%C3%A1n","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9521","Galasso","Norberto","H","1936","","Escritura","https://es.wikipedia.org/wiki/Norberto_Galasso","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9682","Galettini","Carlos","H","1938","","Audiovisual","https://es.wikipedia.org/wiki/Carlos_Galettini; http://www.imdb.com/name/nm0302007/; http://www.cinenacional.com/persona/carlos-galettini","Cine argentino. Diccionario de realizadores contemporáneos. 1987"
"9106","Gallardo","Alejandro","H","1887","1961","Escritura","","Diccionario de escritores de la Provincia de Buenos Aires. Coloniales y siglo XIX. 2010"
"9107","Gallardo de Salazar Pringles","Justa B.","M","1884","1977","Escritura","","Diccionario de escritores de la Provincia de Buenos Aires. Coloniales y siglo XIX. 2010"
"9522","Gallardo Drago Mitre","Sara","M","1931","1988","Escritura","https://es.wikipedia.org/wiki/Sara_Gallardo","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9523","Gallipoli","Elio Vicente","H","1944","","Escritura, Artes escénicas","","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9524","Gallone","Osvaldo","H","1959","","Escritura","","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9525","Galtier","Lysandro Z. D.","H","1904","1985","Escritura, Artes visuales","http://www.fundacionkonex.com.ar/b855-lysandro_z_d_galtier","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9199","Gálvez","Manuel","H","1882","1962","Escritura","https://es.wikipedia.org/wiki/Manuel_G%C3%A1lvez","Diccionario de autores latinoamericanos. 2001; Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9200","Gambaro","Griselda","M","1928","","Escritura","https://es.wikipedia.org/wiki/Griselda_Gambaro; http://www.fundacionkonex.com.ar/b1376-griselda_gambaro","Diccionario de autores latinoamericanos. 2001; Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9526","Gamerro","Carlos","H","1962","","Escritura","https://en.wikipedia.org/wiki/Carlos_Gamerro","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9527","Gándara","Carmen","M","1900","1977","Escritura","","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9528","Gandolfo","Elvio Eduardo","H","1947","","Escritura","https://es.wikipedia.org/wiki/Elvio_Gandolfo; http://www.fundacionkonex.com.ar/b4643-elvio_e_gandolfo","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9529","Gandulfo","Esteban","H","1944","","Escritura","","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9530","Ganora","Mario","H","1954","","Escritura","","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9531","Garcés","Gonzalo","H","1974","","Escritura","https://es.wikipedia.org/wiki/Gonzalo_Garc%C3%A9s","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9532","García","Germán Leopoldo","H","1944","","Escritura","https://es.wikipedia.org/wiki/Germ%C3%A1n_Garc%C3%ADa","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9108","García","Baldomero","H","1799","1870","Escritura","https://es.wikipedia.org/wiki/Baldomero_Garc%C3%ADa","Diccionario de escritores de la Provincia de Buenos Aires. Coloniales y siglo XIX. 2010"
"9109","García","Juan Agustín","H","1862","1923","Escritura","https://es.wikipedia.org/wiki/Juan_Agust%C3%ADn_Garc%C3%ADa","Diccionario de escritores de la Provincia de Buenos Aires. Coloniales y siglo XIX. 2010"
"9110","García","Manuel Rafael","H","1826","1887","Escritura","https://es.wikipedia.org/wiki/Manuel_Rafael_Garc%C3%ADa_Aguirre","Diccionario de escritores de la Provincia de Buenos Aires. Coloniales y siglo XIX. 2010"
"9111","García Black de Gómez Langenheim","Flora","M","1896","1976","Escritura","","Diccionario de escritores de la Provincia de Buenos Aires. Coloniales y siglo XIX. 2010"
"9533","García Canclini","Néstor","H","1939","","Escritura","https://es.wikipedia.org/wiki/N%C3%A9stor_Garc%C3%ADa_Canclini; http://www.fundacionkonex.org/b673-nestor_garcia_canclini","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9417","García del Molino","Fernando","H","1813","1899","Artes visuales","https://es.wikipedia.org/wiki/Fernando_Garc%C3%ADa_del_Molino","23 pintores de la Argentina. 1810-1900. 1978"
"9683","García Ferré","Manuel","H","1929","2013","Audiovisual","https://es.wikipedia.org/wiki/Manuel_Garc%C3%ADa_Ferr%C3%A9; http://www.imdb.com/name/nm0305659/; http://www.cinenacional.com/persona/manuel-garcia-ferre; http://www.fundacionkonex.com.ar/b778-manuel-garcia-ferre","Cine argentino. Diccionario de realizadores contemporáneos. 1987"
"9534","García Lao","Fernanda","M","1966","","Escritura, Artes escénicas, Audiovisual","https://es.wikipedia.org/wiki/Fernanda_Garc%C3%ADa_Lao","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9546","García Luna","Raúl","H","1948","","Escritura","","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
