nid,nombres,apellidos,seudonimos,variantes,genero,fecha_nacimiento,fecha_muerte,ano_nacimiento,ano_muerte,lugar_nacimiento,disciplinas,subdisciplinas,fuentes,enlaces_titulo,enlaces_url,notas,obs_tipo,obs_descripcion
8493,Florencia,Abbate,,,Mujer,24/12/1976,,1976,,Capital Federal,Escritura,Poesía|Periodismo|Narrativa|Escritura: Poesía,Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999,Wikipedia en español,https://es.wikipedia.org/wiki/Florencia_Abbate,,ADICIONES,subdisciplinas: Escritura: Poesía
,Álvaro,Abós,,Nicolás Olivari,Hombre,,,1943,,Capital Federal,Escritura,Escritura: Narrativa|Escritura: No ficción,,,,,OTROS NACIMIENTOS,1941
8495,Tomás,Abraham,,,Hombre,05/12/1946,,1946,,Rumania,Escritura|DEF: Escritura,Periodismo|No ficción,Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999,Wikipedia en español,https://es.wikipedia.org/wiki/Tom%C3%A1s_Abraham,,ADICIONES,disciplinas: DEF: Escritura
,Luis,Abrego,,,Hombre,,,1966,,OBS: Anóm,Escritura,Escritura: Narrativa|Escritura: Periodismo|Escritura: Poesía,,,,,CONFLICTOS,lugar_nacimiento: OBS: Anóm / Mendoza
8497,Cecilia,Absatz,,,Mujer,,,1943,,Capital Federal,Artes audiovisuales|Escritura,Traducción|Escritura: Periodismo|Artes audiovisuales: Guionista|Escritura: Narrativa|Escritura: Traducción|Periodismo|Narrativa|Escritura: No ficción,Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,"disciplinas: Artes audiovisuales, subdisciplinas: Artes audiovisuales: Guionista|Escritura: Narrativa|Escritura: Traducción|Escritura: No ficción|Escritura: Periodismo"
8498,Jorge,Accame,,,Hombre,,,1956,,Capital Federal,Escritura,Poesía|Escritura: Dramaturgia|Escritura: Narrativa|Dramaturgia|Narrativa|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Dramaturgia|Escritura: Narrativa|Escritura: Poesía
,Julio,Acosta,,,Hombre,,,1952,,OBS: Buenos Al…,OBS: Escritura,Escritura: Narrativa|Escritura: Poesía|Escritura: No ficción,,,,,CONFLICTOS,lugar_nacimiento: OBS: Buenos Al… / Buenos Aires
8500,Martha,Acosta,,,Mujer,,,1943,,Tucumán,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
8501,Natividad,Acosta,,,Mujer,,,1963,,Formosa,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
8502,Beatriz,Actis,,,Mujer,,,1961,,Santa Fe,Escritura,Escritura: Narrativa|Narrativa,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa
8503,Marcelo,Actis,,,Hombre,,,1958,,Córdoba,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
8504,César Isidro,Actis Brú,,,Hombre,,,1942,,Buenos Aires,Escritura,Poesía|Escritura: Narrativa|Periodismo|Narrativa|Escritura: Periodismo|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Poesía|Escritura: Periodismo
,Leopoldo Enrique,Acuna,,,Hombre,,,1947,,Buenos Aires,Música|Escritura,Escritura: Narrativa,,,,,NUEVO,sin observaciones
8506,Nilda,Adaro,,,Mujer,,,1946,,Capital Federal,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
,Titi,Ades,,,?,,,1945,,Capital Federal,Escritura|Artes visuales,Escritura: Poesía,,,,,CONFLICTOS,genero: ? / Mujer
8508,Javier,Adúriz,,,Hombre,,,1948,,Capital Federal,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
8509,Daniel,Aguilar,,,Hombre,,,1948,,Capital Federal,Escritura,Escritura: Dramaturgia|Dramaturgia,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Dramaturgia
8510,Gonzalo,Aguilar,,,Hombre,,,1964,,Capital Federal,Escritura,No ficción|Escritura: No ficción,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: No ficción
8511,Hernán,Aguilar,,,Hombre,,,1950,,Capital Federal,Escritura,Escritura: Dramaturgia|Dramaturgia,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Dramaturgia
8512,Liliana,Aguilar,,,Mujer,,,1944,,San Juan,Escritura,Poesía|Escritura: Narrativa|Narrativa|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Poesía
8513,Ernesto,Aguirre,,,Hombre,,,1953,,Jujuy,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
,Osvaldo,Aguirre,,,Hombre,,,1964,,OBS: Prov1Ncia De Buenos Aires,Escritura,Escritura: Narrativa|Escritura: Poesía,,,,,CONFLICTOS,lugar_nacimiento: OBS: Prov1Ncia De Buenos Aires / Buenos Aires
8515,Roberto,Aguirre Molina,,,Hombre,,,1953,,Santa Fe,Escritura,Poesía|Escritura: Narrativa|Narrativa|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Poesía
8516,Luis,Agustoni,,,Hombre,,,1943,,Capital Federal,OBS: Artes escénicas|Escritura,Dramaturgia,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,disciplinas: OBS: Artes escénicas
8517,Eduardo,Aibinder,,,Hombre,,,1968,,Buenos Aires,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
8518,César,Aira,,,Hombre,23/02/1949,,1949,,Buenos Aires,Escritura,No ficción|Traducción|Escritura: Dramaturgia|Escritura: Narrativa|Escritura: Traducción|Dramaturgia|Narrativa|Escritura: No ficción,Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999,Wikipedia en español,https://es.wikipedia.org/wiki/C%C3%A9sar_Aira,,ADICIONES,subdisciplinas: Escritura: Dramaturgia|Escritura: Narrativa|Escritura: Traducción|Escritura: No ficción
8519,Omar,Aíta,,,Hombre,,,1947,,Buenos Aires,OBS: Artes escénicas|Escritura,Escritura: Dramaturgia|Dramaturgia,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,"disciplinas: OBS: Artes escénicas, subdisciplinas: Escritura: Dramaturgia"
,Alberto,Alabi,,,Hombre,,,1959,,Jujuy,Escritura,Escritura: Narrativa,,,,,CONFLICTOS,lugar_nacimiento: Jujuy / Capital Federal
8521,Mario,Albasini,,,Hombre,,,1941,,Capital Federal,Escritura,Escritura: Narrativa|Narrativa,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa
8522,Danilo,Albero,,,Hombre,,,1947,,Mendoza,OBS: Escritura|Escritura,Escritura: Narrativa|Escritura: Traducción|No ficción|Narrativa|Traducción|Escritura: No ficción,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,"disciplinas: OBS: Escritura, subdisciplinas: Escritura: Narrativa|Escritura: Traducción|Escritura: No ficción"
8523,Alberto Félix,Alberto,,,Hombre,,,1948,,Capital Federal,OBS: Artes escénicas|Escritura,Dramaturgia,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,disciplinas: OBS: Artes escénicas
8524,Fernando,Aldao,,,Hombre,,,1965,,Capital Federal,Música|Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
8525,Juan Carlos,Alegre,,,Hombre,,,1945,,Santiago del Estero,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
8526,Carlos,Aletto,,,Hombre,,,1967,,Buenos Aires,Escritura,Escritura: Narrativa|Narrativa,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa
8527,Juan Manuel,Alfaro,,,Hombre,,,1955,,Entre Ríos,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
,Teresa,Alfieri,,,Mujer,,,1947,,Capital Federal,Escritura,Escritura: No ficción,,,,,NUEVO,sin observaciones
8529,Cristian,Aliaga,,,Hombre,,,1962,,Buenos Aires,Escritura,Poesía|No ficción|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,Wikipedia en español,https://es.wikipedia.org/wiki/Cristian_Aliaga,,ADICIONES,subdisciplinas: Escritura: Poesía
8530,Roberto,Alifano,,,Hombre,,,1943,,Buenos Aires,Escritura,Poesía|No ficción|Escritura: Poesía|Escritura: No ficción,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía|Escritura: No ficción
8531,Eduardo,Aliverti,,,Hombre,,,1956,,Capital Federal,Escritura,Periodismo|Escritura: Periodismo,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Periodismo
8532,María Guadalupe,Allassia,,,Mujer,,,1943,,Santa Fe,Escritura,Poesía|Escritura: Narrativa|Narrativa|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Poesía
,Inés De,Allende,,,Mujer,,,1944,,Córdoba,Escritura,Escritura: Poesía,,,,,NUEVO,sin observaciones
8773,Gabriel,Alonso,,,Hombre,,,1959,,Capital Federal,Escritura,Escritura: Narrativa|Narrativa,Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G,,,,ADICIONES,subdisciplinas: Escritura: Narrativa
8535,Luis Eduardo,Alonso,,,Hombre,,,1951,,Capital Federal,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
8537,Laura,Alperovich,,,Mujer,,,1963,,Capital Federal,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
8538,Carlos María,Alsina,,,Hombre,,,1958,,Tucumán,OBS: Artes escénicas|Escritura,Escritura: Dramaturgia|Dramaturgia,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,"disciplinas: OBS: Artes escénicas, subdisciplinas: Escritura: Dramaturgia"
,Ana Maria,Alvarado,,,Mujer,,,1957,,Buenos Aires,OBS: Artes escénicas|Escritura,Escritura: Dramaturgia|Artes escénicas: Pantomima,,,,,NUEVO,sin observaciones
8540,Maite,Alvarado,,,Mujer,,,1953,2002,Buenos Aires,OBS: Escritura|Escritura,Escritura: Narrativa|Narrativa|Escritura: No ficción,Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,"disciplinas: OBS: Escritura, subdisciplinas: Escritura: Narrativa|Escritura: No ficción"
8541,Martín,Alvarenga,,,Hombre,,,1941,,Corrientes,Escritura,Poesía|Escritura: Narrativa|No ficción|Narrativa|Escritura: Poesía|Escritura: No ficción,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Poesía|Escritura: No ficción
8542,Silvia,Álvarez,,,Mujer,,,1956,,Buenos Aires,Escritura,Poesía|Escritura: Narrativa|Narrativa|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Poesía
,Adela,Alvarez Faur,,,Mujer,,,1945,,Mendoza,Escritura,Escritura: Narrativa|Escritura: Poesía,,,,,NUEVO,sin observaciones
,Eduardo,Alvarez Tunon,,,Hombre,,,1957,,Capital Federal,Escritura,Escritura: Narrativa|Escritura: Poesía,,,,,NUEVO,sin observaciones
8545,María Zulema,Amadei,,,Mujer,,,1941,,Santa Fe,Escritura,Poesía|Escritura: Narrativa|Narrativa|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Poesía
8546,Ana María,Amado,,,Mujer,,,1946,,Santiago del Estero,Escritura,Escritura: Narrativa|No ficción|Escritura: No ficción|Narrativa,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: No ficción
,Ana María,Amar Sanchez,,,Mujer,,,1947,,Buenos Aires,Escritura,Escritura: No ficción,,,,,NUEVO,sin observaciones
8548,Lisandro,Amarilla,,,Hombre,,,1945,,Santiago del Estero,Escritura,Poesía|Escritura: Dramaturgia|Escritura: Narrativa|Dramaturgia|Narrativa|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Dramaturgia|Escritura: Narrativa|Escritura: Poesía
8549,Mirtha Isabel,Amestoy,,,Mujer,,,1945,1995,Río Negro,OBS: Escritura|Escritura,Poesía|Escritura: Narrativa|Narrativa|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,"disciplinas: OBS: Escritura, subdisciplinas: Escritura: Narrativa|Escritura: Poesía"
8550,Daniel,Amiano,,,Hombre,,,1963,,Buenos Aires,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
,Irene,OBS: Amuchastegu1,,,Mujer,,,1967,,Capital Federal,OBS: Escritura,Escritura: Periodismo,,,,,NUEVO,sin observaciones
8552,Esteban Gabriel,Anadón,,,Hombre,,,1962,,Córdoba,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
8553,Pablo,Anadón,,,Hombre,,,1963,,Córdoba,Escritura,Poesía|Escritura: Traducción|No ficción|Traducción|Escritura: Poesía|Escritura: No ficción,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Traducción|Escritura: Poesía|Escritura: No ficción
8554,Federico,Andahazi,,,Hombre,06/06/1963,,1963,,Capital Federal,Escritura,Escritura: Narrativa|Narrativa,Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999,Wikipedia en español,https://es.wikipedia.org/wiki/Federico_Andahazi,,ADICIONES,subdisciplinas: Escritura: Narrativa
8555,María Del Rosario|María del Rosario,Andrada,,,Mujer,,,1954,,Catamarca,Escritura,Poesía|Escritura: Narrativa|Narrativa|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,"nombres: María Del Rosario, subdisciplinas: Escritura: Narrativa|Escritura: Poesía"
8556,Nora,Andrade,,,Mujer,,,1947,,Capital Federal,Escritura,Escritura: Dramaturgia|Dramaturgia,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Dramaturgia
8557,Esther,Andradi,,,Mujer,,,1950,,Santa Fe,Escritura,Escritura: Narrativa|Periodismo|Narrativa|Escritura: Periodismo,Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Periodismo
8558,Vanna,Andreini,,,Mujer,,,1969,,Italia,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
,María Teresa,OBS: Andrue&#39;Ito,,,Mujer,,,1954,,Córdoba,Escritura,Escritura: Narrativa|Escritura: Poesía|Escritura: No ficción,,,,,NUEVO,sin observaciones
8560,Guillermo,Angelelli,,,Hombre,,,1961,,Córdoba,OBS: Artes escénicas|Escritura,Escritura: Dramaturgia|Dramaturgia,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,"disciplinas: OBS: Artes escénicas, subdisciplinas: Escritura: Dramaturgia"
8561,Diego,Angelino,,,Hombre,,,1944,,Entre Ríos,Escritura,Poesía|Escritura: Narrativa|Narrativa|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Poesía
8797,Roberto,Anglade,,,Hombre,,,1950,,Santiago del Estero,Escritura,Poesía|Escritura: Narrativa|Narrativa,Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G,,,,ADICIONES,subdisciplinas: Escritura: Narrativa
,Eduardo,Anguita,,,Hombre,,,1953,,Capital Federal,OBS: Escritura,Escritura: Periodismo,,,,,NUEVO,sin observaciones
,OBS: Carlos 0.,Antognazzi,,,,,,1963,,Santa Fe,Escritura,Escritura: Narrativa|Escritura: No ficción,,,,,NUEVO,sin observaciones
,Ignacio,Apolo,,,Hombre,,,1969,,Capital Federal,Escritura,Escritura: Dramaturgia|Escritura: Narrativa,,,,,NUEVO,sin observaciones
,Ariel C.,Arango,,,Hombre,,,1941,,Santa Fe,Escritura,Escritura: No ficción,,,,,NUEVO,sin observaciones
,Graciela Nidia,Araoz,,,Mujer,,,1955,,San Luis,OBS: Escritura,Escritura: No ficción|Escritura: Poesía,,,,,NUEVO,sin observaciones
,Inés,Araoz,,,Mujer,,,1945,,Tucumán,Escritura,Escritura: Poesía,,,,,NUEVO,sin observaciones
8567,Silvia,Arazi,,,Mujer,,,1955,,Capital Federal,Escritura,Escritura: Narrativa|Narrativa,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa
8568,Alejandro,Archain,,,Hombre,,,1953,,Buenos Aires,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
,Llda Haidé,OBS: Ardi&#39;Ite De Daiban,,,?,,,1941,,Capital Federal,Escritura,Escritura: Poesía,,,,,NUEVO,sin observaciones
,Carlos,Ares,,,Hombre,,,1950,,Capital Federal,Escritura,Escritura: Narrativa|Escritura: Periodismo,,,,,NUEVO,sin observaciones
8571,Daniel,Ares,,,Hombre,,,1956,,Capital Federal,Escritura,Escritura: Narrativa|Periodismo|Narrativa|Escritura: Periodismo,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Periodismo
,Susana,Arevalo,,,Mujer,,,1952,,Córdoba,Escritura,Escritura: Poesía,,,,,NUEVO,sin observaciones
8573,Alberto,Arias,,,Hombre,,,1954,,Buenos Aires,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
8574,Ana,Arias,,,Mujer,,,1944,,Capital Federal,Escritura,Escritura: Narrativa|Narrativa,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa
,Teresa,OBS: Ari]Ón,,,Mujer,,,1960,,Capital Federal,Escritura,Escritura: Traducción|Escritura: Poesía,,,,,NUEVO,sin observaciones
8576,María Cristina,Arostegui,,,Mujer,,,1949,,Capital Federal,Escritura,Escritura: Narrativa|No ficción|Escritura: No ficción|Narrativa,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: No ficción
8577,Jaime,Arrambide,,,Hombre,,,1968,,Capital Federal,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
8578,Carmen,Arrieta,,,Mujer,,,1962,,Capital Federal,Artes escénicas|Escritura,Escritura: Dramaturgia|Dramaturgia,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,"disciplinas: Artes escénicas, subdisciplinas: Escritura: Dramaturgia"
8579,Enrique,Arrosagaray,,,Hombre,,,1953,,Buenos Aires,Escritura,Escritura: Narrativa|Periodismo|Narrativa,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa
8580,Carlos Alberto,Artayer,,,Hombre,,,1940,,Santiago del Estero,Escritura,Poesía|Escritura: Narrativa|Narrativa|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Poesía
8581,Raúl,Artola,,,Hombre,,,1947,,Buenos Aires,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
8582,Ana,Arzoumanian,,,Mujer,,,1962,,Capital Federal,Escritura,Poesía|No ficción|Escritura: Poesía|Escritura: No ficción,Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía|Escritura: No ficción
,Ciela,Asad,,,?,,,1961,,Capital Federal,Escritura,Escritura: Poesía,,,,,NUEVO,sin observaciones
,OBS: J0Rge,Asís,,,,,,1946,,Capital Federal,Escritura,Escritura: Narrativa,,,,,NUEVO,sin observaciones
8584,Ana,Atorresi,,,Mujer,,,1964,,Capital Federal,Escritura,Escritura: Narrativa|Escritura: Traducción|Narrativa|Traducción,Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Traducción
8585,Jorge Ricardo,Aulicino,,,Hombre,,,1949,,Capital Federal,Escritura,Traducción|Poesía|Periodismo|Escritura: Poesía|Escritura: Periodismo,Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999,Wikipedia en español,https://es.wikipedia.org/wiki/Jorge_Aulicino,,ADICIONES,subdisciplinas: Escritura: Poesía|Escritura: Periodismo
,Márgara,OBS: Averbaci—I,,,?,,,1957,,Capital Federal,Escritura,Escritura: Narrativa|Escritura: Traducción|Escritura: Periodismo,,,,,NUEVO,sin observaciones
8587,Luisa,Axpe,,,Mujer,,,1945,,Capital Federal,Escritura,Escritura: Narrativa|Narrativa,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa
8588,Ricardo,Aznárez,,,Hombre,,,1955,,Santiago del Estero,Escritura,Escritura: Narrativa|Narrativa,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa
8589,Victoria,Azurduy,,,Mujer,,,1947,,Capital Federal,Escritura,Escritura: Narrativa|Periodismo|Narrativa|Escritura: Periodismo,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Periodismo
8590,Hugo,Bab Quintela,,,Hombre,,,1943,,Capital Federal,OBS: Artes escénicas|Escritura,Dramaturgia,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,disciplinas: OBS: Artes escénicas
8591,Pablo,Baca,,,Hombre,,,1958,,Jujuy,Escritura,Poesía|Escritura: Narrativa|Narrativa|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Poesía
8592,Julio,Baccaro,,,Hombre,,,1940,,Buenos Aires,OBS: Escritura|Escritura,Escritura: Dramaturgia|Dramaturgia,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,"disciplinas: OBS: Escritura, subdisciplinas: Escritura: Dramaturgia"
,"ERR: TV, compuso música y canciones para teatro. Recibió el Premio Pirandello otor— gado por el Fondo Nacional de las Artes y el Gobierno de Italia. Publicó Cuando nos vamos (teatro, 1968, Premio Pondal Ríos).",,,,,,,,,,,,,,,,NUEVO,sin observaciones
8593,Luis,Bacigalupo,,,Hombre,,,1958,,Capital Federal,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
8594,Juan Alberto,Badía,,,Hombre,29/11/1946,29/06/2012,1946,2012,Buenos Aires,Escritura|Audiovisual|DEF: Escritura,Narrativa,Breve diccionario biográfico de autores argentinos desde 1940. 1999,Wikipedia en español,https://es.wikipedia.org/wiki/Juan_Alberto_Bad%C3%ADa,,ADICIONES,disciplinas: DEF: Escritura
8595,Juan Carlos,Badillo,,,Hombre,,,1943,,Capital Federal,Artes escénicas|Escritura,Escritura: Dramaturgia|Dramaturgia,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,"disciplinas: Artes escénicas, subdisciplinas: Escritura: Dramaturgia"
8597,María Banura,Badui De Zogbi|Badui de Zogbi,,,Mujer,,,1941,,Mendoza,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,"apellidos: Badui De Zogbi, subdisciplinas: Escritura: Poesía"
8598,Diego,Bagnera,,,Hombre,,,1973,,Capital Federal,Escritura,Escritura: Periodismo|Poesía|Escritura: Dramaturgia|Escritura: Narrativa|Periodismo|Dramaturgia|Narrativa|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Dramaturgia|Escritura: Narrativa|Escritura: Poesía|Escritura: Periodismo
8599,Graciela,Ballestero,,,Mujer,,,1953,,Buenos Aires,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
8600,Osvaldo,Ballina,,,Hombre,,,1942,,Buenos Aires,Escritura,Poesía|Escritura: Poesía|Traducción,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
8601,Carlos,Balmaceda,,,Hombre,,,1954,,Buenos Aires,Escritura,Escritura: Narrativa|Narrativa,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa
