nid,nombres,apellidos,seudonimos,variantes,genero,fecha_nacimiento,fecha_muerte,ano_nacimiento,ano_muerte,lugar_nacimiento,disciplinas,subdisciplinas,fuentes,enlaces_titulo,enlaces_url,notas,obs_tipo,obs_descripcion
,Susana,Szwarc,,,Mujer,,,1952,,Chaco,Escritura,Escritura: Narrativa|Escritura: Poesía,,,,,NUEVO,sin observaciones
,Maria Del Rosario,Tabarez,,,Mujer,,,1945,,Capital Federal,Escritura,Escritura: Poesía,,,,,NUEVO,sin observaciones
9479,Damián,Tabarovsky,,,Hombre,,,1967,,Capital Federal,Escritura,Escritura: Narrativa|Escritura: Traducción|No ficción|Narrativa|Traducción|Escritura: No ficción,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Traducción|Escritura: No ficción
9480,Oscar,Taborda,,,Hombre,,,1959,,Santa Fe,Escritura,Poesía|Escritura: Narrativa|Narrativa|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Poesía
9481,Halima,Tahan,,,Mujer,,,1951,,Córdoba,OBS: Escritura|Escritura,Escritura: Dramaturgia|Dramaturgia,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,"disciplinas: OBS: Escritura, subdisciplinas: Escritura: Dramaturgia"
9482,Mónica,Tamborenea,,,Mujer,,,1951,,Capital Federal,Escritura,No ficción|Escritura: No ficción,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: No ficción
9483,Alejandro,Tantanian,,,Hombre,,,1966,,Capital Federal,OBS: Artes escénicas|Escritura,Escritura: Dramaturgia|Dramaturgia,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,"disciplinas: OBS: Artes escénicas, subdisciplinas: Escritura: Dramaturgia"
9484,Gerardo,Taratuto,,,Hombre,,,1944,,Capital Federal,Artes audiovisuales|Escritura,Escritura: Dramaturgia|Artes audiovisuales: Guionista|Otras|Dramaturgia,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,"disciplinas: Artes audiovisuales, subdisciplinas: Escritura: Dramaturgia|Artes audiovisuales: Guionista"
,Horacio,Paglione,Targus,,Hombre,,,1955,,Capital Federal,Escritura,Escritura: No ficción,,,,,NUEVO,sin observaciones
9486,Alberto,Tasso,,,Hombre,,,1943,,Buenos Aires,Escritura,Poesía|Escritura: Narrativa|No ficción|Narrativa|Escritura: Poesía|Escritura: No ficción,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Poesía|Escritura: No ficción
9487,Juan,Tausk,,,Hombre,,,1947,,Capital Federal,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
,José,OBS: Tci—Ierkaski,,,Hombre,,,1943,,Capital Federal,Escritura,Escritura: Narrativa|Escritura: Poesía,,,,,NUEVO,sin observaciones
9489,Elsa Edith,Tebere De Ferraro|Tebere de Ferraro,,,Mujer,,,1942,,Santa Fe,Escritura,Poesía|Escritura: Narrativa|Narrativa|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,"apellidos: Tebere De Ferraro, subdisciplinas: Escritura: Narrativa|Escritura: Poesía"
9490,Juan Carlos,Tedesco,,,Hombre,,,1944,,Capital Federal,Escritura,No ficción|Escritura: No ficción,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: No ficción
,Luis,OBS: Tedf.Sco,,,Hombre,,,1941,,Capital Federal,Escritura,Escritura: Poesía,,,,,NUEVO,sin observaciones
9492,Fabio,Teijeiro,,,Hombre,,,1968,,Capital Federal,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
9493,Antonio,Tello,,,Hombre,,,1945,,Córdoba,Escritura,Escritura: Narrativa|Periodismo|Narrativa|Escritura: Periodismo,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Periodismo
9494,Eduardo,Terraneo,,,Hombre,,,1969,,Capital Federal,Escritura,Escritura: Narrativa|Narrativa,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa
9495,Guillermo,Thomas,,,Hombre,,,1953,,Santa Fe,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
9496,José Luis,Thomas,,,Hombre,,,1954,,Capital Federal,OBS: Artes escénicas|Escritura,Escritura: Dramaturgia|Dramaturgia,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,"disciplinas: OBS: Artes escénicas, subdisciplinas: Escritura: Dramaturgia"
9497,Luis,Thonis,,,Hombre,,,1949,,Capital Federal,Escritura,Poesía|Escritura: Narrativa|Narrativa|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Poesía
9498,Silvia,Tieffemberg,,,Mujer,,,1958,,Córdoba,Escritura,No ficción|Escritura: No ficción,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: No ficción
