"nid","nombres","apellidos","seudonimos","variantes","genero","fecha_nacimiento","fecha_muerte","ano_nacimiento","ano_muerte","lugar_nacimiento","disciplinas","subdisciplinas","fuentes","enlaces_titulo","enlaces_url","notas"
"9634","Fernando","Birri","","","Hombre","13/03/1925","","1925","","Santa Fe","Audiovisual","Guionista|Dirección cinematográfica","Cine argentino. Diccionario de realizadores contemporáneos. 1987","Wikipedia en español|Cine Nacional|Internet Movie Database (IMDb)","https://es.wikipedia.org/wiki/Fernando_Birri|http://www.cinenacional.com/persona/fernando-birri|http://www.imdb.com/name/nm0083767/",""
"8668","César","Bisso","","","Hombre","","","1952","","Santa Fe","Escritura","Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8669","Sergio","Bizzio","","","Hombre","","","1956","","Buenos Aires","Escritura|Música|Audiovisual","Dirección cinematográfica|Dramaturgia|Narrativa|Poesía","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","Wikipedia en español|Internet Movie Database","https://es.wikipedia.org/wiki/Sergio_Bizzio|http://www.imdb.com/name/nm0084244/",""
"8850","Isidoro","Blaisten","","","Hombre","12/01/1933","28/08/2004","1933","2004","Entre Ríos","Escritura","No ficción|Narrativa|Poesía","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","Wikipedia en español","https://es.wikipedia.org/wiki/Isidoro_Blaisten",""
"8670","Enrique","Blanchard","","","Hombre","","","1944","","Capital Federal","Escritura","Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8851","Alberto Claudio","Blasetti","","","Hombre","","","1923","2005","Capital Federal","Escritura","No ficción|Periodismo|Poesía","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","","",""
"8671","Eduardo","Blaustein","","","Hombre","","","1957","","Capital Federal","Escritura","Narrativa|Periodismo","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8852","Héctor Pedro","Blomberg","","","Hombre","18/03/1889","03/04/1955","1889","1955","Capital Federal","Escritura|Música|Artes escénicas","Narrativa|Periodismo|Poesía|Otras|Autor de letra","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","Wikipedia en español","https://es.wikipedia.org/wiki/H%C3%A9ctor_Pedro_Blomberg",""
"9635","Armando Jorge","Bo","","","Hombre","03/05/1915","08/10/1981","1915","1981","Capital Federal","Música|Audiovisual","Guionista|Intérprete|Dirección cinematográfica|Autor de música","Cine argentino. Diccionario de realizadores contemporáneos. 1987","Wikipedia en español|Internet Movie Database (IMDb)|Cine Nacional","https://es.wikipedia.org/wiki/Armando_B%C3%B3|http://www.imdb.com/name/nm0090109/|http://www.cinenacional.com/persona/armando-bo",""
"8672","Jorge","Boccanera","","","Hombre","","","1952","","Buenos Aires","Escritura","Dramaturgia|No ficción|Poesía","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","Wikipedia en español","https://es.wikipedia.org/wiki/Jorge_Boccanera",""
"8673","Alberto","Boco","","","Hombre","","","1949","","Capital Federal","Escritura","Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8674","María Inés","Bogomolny","","","Mujer","","","1944","","Capital Federal","Escritura","No ficción|Narrativa","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8675","Guillermo","Boido","","","Hombre","","","1941","","Capital Federal","Escritura","No ficción|Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8676","Miguel","Bonasso","","","Hombre","17/05/1940","","1940","","Capital Federal","Escritura","Narrativa|Periodismo","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","Wikipedia en español","https://es.wikipedia.org/wiki/Miguel_Bonasso",""
"8853","Néstor","Bondoni","","","Hombre","","","1916","","Buenos Aires","Escritura","Narrativa|Poesía","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","","",""
"9436","Martín León","Boneo","","","Hombre","28/08/1829","20/09/1915","1829","1915","Capital Federal","Artes visuales","Pintura","23 pintores de la Argentina. 1810-1900. 1978","Wikipedia en español","https://es.wikipedia.org/wiki/Mart%C3%ADn_Boneo",""
"8854","Martín Alberto","Boneo","","","Hombre","","","1913","1973","Capital Federal","Escritura","Poesía","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","","",""
"8677","Fernando","Bonfanti","","","Hombre","","","1958","","Santa Fe","Escritura","Narrativa","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8678","Alcira","Bonilla","","","Mujer","","","1944","","Capital Federal","Escritura","No ficción","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8855","Ángel","Bonomini","","","Hombre","13/10/1929","13/05/1994","1929","1994","Capital Federal","Escritura","Narrativa|Poesía","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","Wikipedia en español|Fundación Konex","https://es.wikipedia.org/wiki/%C3%81ngel_Bonomini|http://www.fundacionkonex.com.ar/b32-%C3%81ngel__bonomini",""
"8679","Pablo","Bontá","","","Hombre","","","1962","","Capital Federal","Escritura|Artes escénicas","Dramaturgia","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"9636","Carlos Francisco","Borcosque (h)","","","Hombre","13/07/1943","","1943","","Capital Federal","Audiovisual","Guionista|Intérprete|Dirección cinematográfica","Cine argentino. Diccionario de realizadores contemporáneos. 1987","Wikipedia en español|Internet Movie Database (IMDb)|Cine Nacional","https://es.wikipedia.org/wiki/Carlos_Borcosque_%28hijo%29|http://www.imdb.com/name/nm0096062/|http://www.cinenacional.com/persona/carlos-f-borcosque-h",""
"8680","Mara","Borda","","","Mujer","","","1970","","Córdoba","Escritura","Narrativa|Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8856","Ivonne Aline","Bordelois","","","Mujer","","","1934","","Buenos Aires","Escritura","No ficción|Poesía","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","Wikipedia en español","https://es.wikipedia.org/wiki/Ivonne_Bordelois",""
"8857","Rodolfo Antonio","Borello","","","Hombre","","","1930","1996","Catamarca","Escritura","No ficción","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","","",""
"8858","Jorge Luis","Borges","","","Hombre","24/08/1899","14/06/1986","1899","1986","Capital Federal","Escritura","Narrativa|Poesía","Diccionario de autores latinoamericanos. 2001|Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","Wikipedia en español|Fundación Konex|Cervantes Virtual","https://es.wikipedia.org/wiki/Jorge_Luis_Borges|http://www.fundacionkonex.org/b1889-jorge_luis_borges|http://www.cervantes.es/bibliotecas_documentacion_espanol/biografias/nueva_york_jorge_luis_borges.htm",""
"8859","Alicia Ester","Borinsky","","","Mujer","23/10/1946","","1946","","Capital Federal","Escritura","No ficción|Narrativa|Poesía","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","Wikipedia en español","https://es.wikipedia.org/wiki/Alicia_Borinsky",""
"8681","Elsa Isabel","Bornemann","","","Mujer","20/02/1952","24/05/2013","1952","2013","Capital Federal","Escritura","Narrativa","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","Wikipedia en español","https://es.wikipedia.org/wiki/Elsa_Bornemann",""
"8891","Mariano G.","Bosch","","","Hombre","","","1865","1948","Buenos Aires","Escritura","Dramaturgia|Otras","Diccionario de escritores de la Provincia de Buenos Aires. Coloniales y siglo XIX. 2010","","",""
"8860","Eduardo Jorge","Bosco","","","Hombre","","30/12/1943","1913","1943","Capital Federal","Escritura","Poesía","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","","",""
"8861","María Angélica","Bosco","","","Mujer","23/08/1909","03/10/2006","1909","2006","Capital Federal","Escritura","Narrativa","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","Wikipedia en español|Fundación Konex","https://es.wikipedia.org/wiki/Mar%C3%ADa_Ang%C3%A9lica_Bosco|http://www.fundacionkonex.com.ar/b851-mar%C3%ADa_ang%C3%A9lica_bosco",""
"8682","Osvaldo","Bossi","","","Hombre","","","1963","","Capital Federal","Escritura","Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8862","Helvio Idelfonso","Botana","","","Hombre","","","1916","","Capital Federal","Escritura","Dramaturgia|No ficción|Narrativa|Periodismo","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","","",""
"8863","Natalio R.","Botana","","","Hombre","","","1937","","Capital Federal","Escritura","No ficción|Periodismo","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","Wikipedia en español|Fundación Konex","https://es.wikipedia.org/wiki/Natalio_R._Botana|http://www.fundacionkonex.org/b649-natalio_botana",""
"8683","Mirta","Botta","","","Mujer","","","1940","2002","Capital Federal","Escritura","No ficción|Narrativa","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8892","José María","Bottaro","","","Hombre","24/10/1859","11/05/1935","1859","1935","Buenos Aires","Escritura","No ficción|Periodismo","Diccionario de escritores de la Provincia de Buenos Aires. Coloniales y siglo XIX. 2010","Wikipedia en español","https://es.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Bottaro",""
"9422","José","Bouchet","","","Hombre","","","1852","1919","Buenos Aires","Artes visuales","Pintura","23 pintores de la Argentina. 1810-1900. 1978","","",""
"8684","Willy","Bouillon","","","Hombre","","","1943","","Bolivia","Escritura","Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8893","Atilio","Boveri","","","Hombre","06/04/1885","","1885","1949","Buenos Aires","Escritura|Artes visuales","Cerámica|Grabado|Pintura|No ficción|Narrativa","Diccionario de escritores de la Provincia de Buenos Aires. Coloniales y siglo XIX. 2010","Wikipedia en español","https://es.wikipedia.org/wiki/Atilio_Boveri",""
"8685","Rodolfo Eduardo","Braceli","","","Hombre","","","1940","","Mendoza","Escritura","Dramaturgia|No ficción|Narrativa|Periodismo|Poesía","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","Wikipedia en español","https://es.wikipedia.org/wiki/Rodolfo_Braceli",""
"8686","Marta Silvia","Braier","","","Mujer","","","1947","","Tucumán","Escritura","No ficción|Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8687","Antonio Elio","Brailovsky","","","Hombre","","","1946","","Capital Federal","Escritura","No ficción|Narrativa","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8688","Raúl","Brambilla","","","Hombre","","","1956","","Córdoba","Escritura","Dramaturgia","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8689","María","Brandán Aráoz","","","Mujer","","","1949","","Capital Federal","Escritura","Narrativa|Periodismo","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8864","Alfredo","Brandán Caraffa","","","Hombre","","","1898","1978","Córdoba","Escritura","Narrativa|Poesía","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","","",""
"8690","Raúl","Brasca","","","Hombre","","","1948","","Buenos Aires","Escritura","Narrativa","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8865","Miguel","Brascó","","","Hombre","14/09/1926","10/05/2014","1926","2014","Santa Fe","Escritura|Artes visuales","Dibujo|Narrativa|Periodismo","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","Wikipedia en español","https://es.wikipedia.org/wiki/Miguel_Brasc%C3%B3",""
"8691","Cecilia","Braslavsky","","","Mujer","","","1952","","Capital Federal","Escritura","No ficción","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
