"nid","nombres","apellidos","seudonimos","variantes","genero","fecha_nacimiento","fecha_muerte","ano_nacimiento","ano_muerte","lugar_nacimiento","disciplinas","subdisciplinas","fuentes","enlaces_titulo","enlaces_url","notas"
"8759","Jorge Washington","Ábalos","","","Hombre","20/09/1915","28/09/1979","1915","1979","Buenos Aires","Escritura","Narrativa","Diccionario de autores latinoamericanos. 2001|Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","Wikipedia en español","https://es.wikipedia.org/wiki/Jorge_Washington_%C3%81balos",""
"8761","Alfredo","Abarca","","","Hombre","","","1941","","Córdoba","Escritura","Narrativa","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8493","Florencia","Abbate","","","Mujer","24/12/1976","","1976","","Capital Federal","Escritura","Narrativa|Periodismo|Poesía","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","Wikipedia en español","https://es.wikipedia.org/wiki/Florencia_Abbate",""
"9608","Alberto","Abdala","","","Hombre","","","","1997","Argentina","Audiovisual","Dirección cinematográfica","Cine argentino. Diccionario de realizadores contemporáneos. 1987","Cine Nacional|Internet Movie Database (IMDb)","http://www.cinenacional.com/persona/alberto-abdala|http://www.imdb.com/name/nm0008106/",""
"9836","María","Abella","","María Abella de Ramírez","Mujer","28/09/1863","05/08/1926","1863","1926","Uruguay","Escritura","Narrativa|Periodismo","Diccionario biográfico de mujeres argentinas. 1986","Wikipedia en español","https://es.wikipedia.org/wiki/Mar%C3%ADa_Abella",""
"8762","Margarita","Abella Caprile","","","Mujer","05/08/1901","28/10/1960","1901","1960","Capital Federal","Escritura","Narrativa|Periodismo|Poesía","Biografías sintéticas de autores argentinos. 1940|Diccionario biográfico de mujeres argentinas. 1986|Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","Wikipedia en español","https://es.wikipedia.org/wiki/Margarita_Abella_Caprile",""
"9837","Arminda","Aberastury","","Arminda Aberastury de Pichón Rivière","Mujer","24/09/1910","24/11/1972","1910","1972","Capital Federal","Escritura","No ficción","Diccionario biográfico de mujeres argentinas. 1986","Wikipedia en español","https://es.wikipedia.org/wiki/Arminda_Aberastury",""
"8494","Álvaro","Abós","","","Hombre","20/10/1941","","1941","","Capital Federal","Escritura","No ficción|Narrativa|Periodismo","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8495","Tomás","Abraham","","","Hombre","05/12/1946","","1946","","Rumania","Escritura","No ficción|Periodismo","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","Wikipedia en español","https://es.wikipedia.org/wiki/Tom%C3%A1s_Abraham",""
"8496","Luis","Abrego","","","Hombre","","","1966","","Mendoza","Escritura","No ficción","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8497","Cecilia","Absatz","","","Mujer","","","1943","","Capital Federal","Escritura","Narrativa|Periodismo|Traducción","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8498","Jorge","Accame","","","Hombre","","","1956","","Capital Federal","Escritura","Dramaturgia|Narrativa|Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"9609","Ángel","Acciaresi","","","Hombre","26/03/1908","","1908","","Capital Federal","Audiovisual","Dirección cinematográfica","Cine argentino. Diccionario de realizadores contemporáneos. 1987","Wikipedia en español|Internet Movie Database (IMDb)|Cine Nacional","https://es.wikipedia.org/wiki/%C3%81ngel_Acciaresi|http://www.imdb.com/name/nm0009599/|http://www.cinenacional.com/persona/angel-acciaresi","{diferencia}{libro=562}{2}{1918}"
"8763","Hugo","Acevedo","","","Hombre","","11/05/2007","1925","2007","Mendoza","Escritura","No ficción|Poesía|Traducción","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","","",""
"9838","Josefina","Acosta","","","Mujer","27/08/1902","","","","Buenos Aires","Escritura","Narrativa","Diccionario biográfico de mujeres argentinas. 1986","","",""
"9839","Sofía","Acosta","","","Mujer","24/10/1925","","1925","","Entre Ríos","Escritura","No ficción|Narrativa|Poesía","Diccionario biográfico de mujeres argentinas. 1986","","",""
"8499","Julio","Acosta","","","Hombre","","","1952","","Buenos Aires","Escritura","Narrativa|Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8500","Martha","Acosta","","","Mujer","","","1943","","Tucumán","Escritura","Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8501","Natividad","Acosta","","","Mujer","","","1963","","Formosa","Escritura","Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8503","Marcelo","Actis","","","Hombre","","","1958","","Córdoba","Escritura","Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8502","Beatriz","Actis","","","Mujer","","","1961","","Santa Fe","Escritura","Narrativa","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8504","César Isidro","Actis Brú","","","Hombre","","","1942","","Buenos Aires","Escritura","Narrativa|Periodismo|Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8505","Leopoldo Enrique","Acuña","","","Hombre","","","1947","","Buenos Aires","Escritura","Narrativa|Música","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"9761","Ángel","Acuña","","","Hombre","17/04/1882","","1882","","Corrientes","Escritura","No ficción","Biografías sintéticas de autores argentinos. 1940","","",""
"8506","Nilda","Adaro","","","Mujer","","","1946","","Capital Federal","Escritura","Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8507","Titi","Ades","","","Mujer","","","1945","","Capital Federal","Escritura|Artes visuales","Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8764","María Raquel","Adler","","","Mujer","","28/07/1974","1904","1974","Capital Federal","Escritura","Poesía","Diccionario biográfico de mujeres argentinas. 1986|Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","Wikipedia en español","https://es.wikipedia.org/wiki/Mar%C3%ADa_Raquel_Adler","{diferencia}{libro=571}{2}{1910}"
"8508","Javier","Adúriz","","","Hombre","","","1948","","Capital Federal","Escritura","Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8765","Marcelo","Aebi","","","Hombre","","","1966","","Capital Federal","Escritura","Narrativa","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","","",""
"8766","Héctor Pablo","Agosti","Adriano Adriani|Adrián Adriani|Aguirre|Horacio Cárdenas|Hugo Lamel|Pablo Stylo|Hugo Vilanova","","Hombre","20/08/1911","29/07/1984","1911","1984","Capital Federal","Escritura","No ficción|Periodismo","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","Wikipedia en español","https://es.wikipedia.org/wiki/H%C3%A9ctor_P._Agosti",""
"9439","Mariano","Agrelo","","","Hombre","","","1836","1891","Argentina","Artes visuales","Pintura","23 pintores de la Argentina. 1810-1900. 1978","Wikipedia en español","https://es.wikipedia.org/wiki/Mariano_Agrelo",""
"9610","Alejandro","Agresti","","","Hombre","02/06/1961","","1961","","Capital Federal","Artes escénicas|Audiovisual","Guionista|Dirección cinematográfica","Cine argentino. Diccionario de realizadores contemporáneos. 1987","Wikipedia en español|Fundación Konex|Internet Movie Database (IMDb)|Cine Nacional","https://es.wikipedia.org/wiki/Alejandro_Agresti|http://www.fundacionkonex.com.ar/b2260-alejandro__agresti|http://www.imdb.com/name/nm0002159/|http://www.cinenacional.com/persona/alejandro-agresti",""
"9840","María Adela","Agudo","","","Mujer","13/02/1912","27/01/1952","1912","1952","Santiago del Estero","Escritura","Poesía","Diccionario biográfico de mujeres argentinas. 1986","","",""
"9841","Carmen Celia","Agüero Vera","","Carmen Celia Agüero Vera de Barrionuevo","Mujer","04/03/1928","19/04/2014","1928","2014","Capital Federal","Escritura","Periodismo|Poesía","Diccionario biográfico de mujeres argentinas. 1986","","",""
"8509","Daniel","Aguilar","","","Hombre","","","1948","","Capital Federal","Escritura","Dramaturgia","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8510","Gonzalo","Aguilar","","","Hombre","","","1964","","Capital Federal","Escritura","No ficción","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8511","Hernán","Aguilar","","","Hombre","","","1950","","Capital Federal","Escritura","Dramaturgia","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8512","Liliana","Aguilar","","","Mujer","","","1944","","San Juan","Escritura","Narrativa|Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8767","Marcos","Aguinis","","","Hombre","13/01/1935","","1935","","Córdoba","Escritura","No ficción|Narrativa|Periodismo","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","Wikipedia en español","https://es.wikipedia.org/wiki/Marcos_Aguinis",""
"8768","Raúl Gustavo","Aguirre","","","Hombre","","18/01/1983","1927","1983","Buenos Aires","Escritura","Poesía|Traducción","Diccionario de autores latinoamericanos. 2001|Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","Wikipedia en español","https://es.wikipedia.org/wiki/Ra%C3%BAl_Gustavo_Aguirre",""
"8513","Ernesto","Aguirre","","","Hombre","","","1953","","Jujuy","Escritura","Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8514","Osvaldo","Aguirre","","","Hombre","","","1964","","Buenos Aires","Escritura","Narrativa|Poesía","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","Wikipedia en español","https://es.wikipedia.org/wiki/Osvaldo_Aguirre",""
"8515","Roberto","Aguirre Molina","","","Hombre","","","1953","","Santa Fe","Escritura","Narrativa|Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8516","Luis","Agustoni","","","Hombre","","","1943","","Capital Federal","Escritura","Dramaturgia","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8517","Eduardo","Aibinder","","","Hombre","","","1968","","Buenos Aires","Escritura","Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8518","César","Aira","","","Hombre","23/02/1949","","1949","","Buenos Aires","Escritura","Dramaturgia|No ficción|Narrativa|Traducción","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","Wikipedia en español","https://es.wikipedia.org/wiki/C%C3%A9sar_Aira",""
"8519","Omar","Aíta","","","Hombre","","","1947","","Buenos Aires","Escritura","Dramaturgia","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8520","Alberto","Alabi","","","Hombre","","","1959","","Capital Federal","Escritura","Narrativa","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8521","Mario","Albasini","","","Hombre","","","1941","","Capital Federal","Escritura","Narrativa","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8967","Juan Bautista","Alberdi","","","Hombre","29/08/1810","19/06/1884","1810","1884","Tucumán","Escritura|Música","No ficción|Narrativa|Autor de música","Biografías sintéticas de autores argentinos. 1940|Diccionario de autores latinoamericanos. 2001","Wikipedia en español","https://es.wikipedia.org/wiki/Juan_Bautista_Alberdi",""
"8522","Danilo","Albero","","","Hombre","","","1947","","Mendoza","Escritura","No ficción|Narrativa|Traducción","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8523","Alberto Félix","Alberto","","","Hombre","","","1948","","Capital Federal","Escritura","Dramaturgia","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8769","Ramón","Alcalde","","","Hombre","","","1922","1989","Capital Federal","Escritura","No ficción|Traducción","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","","",""
"8770","Gloria","Alcorta Mansilla","","","Mujer","30/09/1915","25/02/2012","1915","2012","Francia","Escritura","Dramaturgia|Narrativa|Periodismo|Poesía","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","Wikipedia en español","https://es.wikipedia.org/wiki/Gloria_Alcorta",""
"8524","Fernando","Aldao","","","Hombre","","","1965","","Capital Federal","Escritura|Música","Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8525","Juan Carlos","Alegre","","","Hombre","","","1945","","Santiago del Estero","Escritura","Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8771","Ezequiel","Alemián","","","Hombre","","","1968","","Capital Federal","Escritura","Narrativa|Poesía","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","","",""
"8526","Carlos","Aletto","","","Hombre","","","1967","","Buenos Aires","Escritura","Narrativa","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"9611","Emilio","Alfaro","","","Hombre","20/01/1933","18/07/1998","1933","1998","Capital Federal","Audiovisual","Intérprete|Dirección cinematográfica","Cine argentino. Diccionario de realizadores contemporáneos. 1987","Wikipedia en español|Internet Movie Database (IMDb)|Cine Nacional","https://es.wikipedia.org/wiki/Emilio_Alfaro|http://www.imdb.com/name/nm0019064/|http://www.cinenacional.com/persona/emilio-alfaro",""
"8527","Juan Manuel","Alfaro","","","Hombre","","","1955","","Entre Ríos","Escritura","Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8772","Teresa Graciela","Alfieri","","","Mujer","","","1947","","Capital Federal","Escritura","No ficción","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8529","Cristian","Aliaga","","","Hombre","","","1962","","Buenos Aires","Escritura","No ficción|Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","Wikipedia en español","https://es.wikipedia.org/wiki/Cristian_Aliaga",""
"9727","Rosalba","Aliaga Sarmiento","","","Mujer","","","","1953","San Juan","Escritura","Narrativa","Narradoras argentinas (1852-1932). 1995","","",""
"8530","Roberto","Alifano","","","Hombre","","","1943","","Buenos Aires","Escritura","No ficción|Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"9711","Carolina Adelia","Alió","","","Mujer","","","1888","1954","Buenos Aires","Escritura","Dramaturgia|Narrativa|Periodismo","Narradoras argentinas (1852-1932). 1995","","",""
"8531","Eduardo","Aliverti","","","Hombre","","","1956","","Capital Federal","Escritura","Periodismo","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8532","María Guadalupe","Allassia","","","Mujer","","","1943","","Santa Fe","Escritura","Narrativa|Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8533","Inés","Allende de","","","Mujer","","","1944","","Córdoba","Escritura","Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8773","Gabriel","Alonso","","","Hombre","","","1959","","Capital Federal","Escritura","Narrativa","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","","",""
"8774","Rodolfo","Alonso","","","Hombre","","","1934","","Capital Federal","Escritura","No ficción|Poesía|Traducción","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","Wikipedia en español","https://es.wikipedia.org/wiki/Rodolfo_Alonso",""
"8534","Gabriel","Alonso","","","Hombre","","","1951","","Capital Federal","Escritura","Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8535","Luis Eduardo","Alonso","","","Hombre","","","1951","","Capital Federal","Escritura","Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8537","Laura","Alperovich","","","Mujer","","","1963","","Capital Federal","Escritura","Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8538","Carlos María","Alsina","","","Hombre","","","1958","","Tucumán","Escritura","Dramaturgia","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8775","Carlos Washington","Altamirano","","","Hombre","26/08/1939","","1939","","Corrientes","Escritura","No ficción","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","Wikipedia en español","https://es.wikipedia.org/wiki/Carlos_Altamirano_%28soci%C3%B3logo%29",""
"8776","Tomás","Alva Negri","","","Hombre","","","1931","1999","Capital Federal","Escritura","No ficción|Narrativa","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","Fundación Konex","http://www.fundacionkonex.com.ar/b264-tomas_alva_negri",""
"8539","Ana María","Alvarado","","","Mujer","","","1957","","Buenos Aires","Escritura","Dramaturgia","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8540","Maite","Alvarado","","","Mujer","","","1953","2002","Buenos Aires","Escritura","Narrativa","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8541","Martín","Alvarenga","","","Hombre","","","1941","","Corrientes","Escritura","No ficción|Narrativa|Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"9756","Agustín","Álvarez","","","Hombre","15/07/1857","15/02/1914","1857","1914","Mendoza","Escritura","No ficción","Biografías sintéticas de autores argentinos. 1940","Wikipedia en español","https://es.wikipedia.org/wiki/Agust%C3%ADn_%C3%81lvarez",""
"8542","Silvia","Álvarez","","","Mujer","","","1956","","Buenos Aires","Escritura","Narrativa|Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8969","José Seferino","Álvarez","Fray Mocho","","Hombre","26/08/1858","23/08/1903","1858","1903","Entre Ríos","Escritura","Narrativa|Periodismo","Biografías sintéticas de autores argentinos. 1940|Diccionario de autores latinoamericanos. 2001","Wikipedia en español","https://es.wikipedia.org/wiki/Fray_Mocho",""
"8777","Alejandro","Álvarez","","","Hombre","","","1962","","Mendoza","Escritura","Narrativa","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","","",""
"8778","Leandro","Álvarez","Néstor Groppa","","Hombre","","04/05/2011","1928","2011","Córdoba","Escritura","Periodismo|Poesía","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","Wikipedia en español","https://es.wikipedia.org/wiki/N%C3%A9stor_Groppa",""
"8543","Adela","Álvarez Faur","","","Mujer","","","1945","","Mendoza","Escritura","Narrativa|Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8779","Carlos","Álvarez Insúa","","","Hombre","","","1955","","Capital Federal","Escritura","Narrativa|Periodismo","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","","",""
"9369","Héctor","Álvarez Murena","H. A. Murena","","Hombre","","","1923","1975","Capital Federal","Escritura","No ficción|Narrativa|Periodismo|Poesía|Traducción","Diccionario de autores latinoamericanos. 2001","Wikipedia en español","https://es.wikipedia.org/wiki/H%C3%A9ctor_A._Murena",""
"8544","Eduardo","Álvarez Tuñón","","","Hombre","","","1957","","Capital Federal","Escritura","Narrativa|Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8545","María Zulema","Amadei","","","Mujer","","","1941","","Santa Fe","Escritura","Narrativa|Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"9759","Octavio","Amadeo","","","Hombre","24/01/1878","","1878","","Buenos Aires","Escritura","No ficción","Biografías sintéticas de autores argentinos. 1940","","",""
"9760","Tomás Aurelio","Amadeo","","","Hombre","","17/12/1950","1880","1950","Buenos Aires","Escritura","No ficción|Periodismo","Biografías sintéticas de autores argentinos. 1940","","",""
"8546","Ana María","Amado","","","Mujer","","","1946","","Santiago del Estero","Escritura","No ficción|Narrativa","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8780","Ana María","Amar Sánchez","","","Mujer","","","1947","","Capital Federal","Escritura","No ficción","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8548","Lisandro","Amarilla","","","Hombre","","","1945","","Santiago del Estero","Escritura","Dramaturgia|Narrativa|Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"9757","Juan Bautista","Ambrosetti","","","Hombre","22/08/1865","28/05/1917","1865","1917","Entre Ríos","Escritura","No ficción","Biografías sintéticas de autores argentinos. 1940","Wikipedia en español","https://es.wikipedia.org/wiki/Juan_Bautista_Ambrosetti",""
"9755","Florentino","Ameghino","","","Hombre","18/09/1854","06/08/1911","1854","1911","Buenos Aires","Escritura","No ficción","Biografías sintéticas de autores argentinos. 1940","Wikipedia en español","https://es.wikipedia.org/wiki/Florentino_Ameghino",""
"8781","Edgardo","Amer González","","","Hombre","","","1956","","Capital Federal","Escritura|Artes escénicas","Dirección cinematográfica|Narrativa","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","Internet Movie Database (IMDb)","http://www.imdb.com/name/nm1434345/",""
"8549","Mirtha Isabel","Amestoy","","","Mujer","","","1945","1995","Río Negro","Escritura","Narrativa|Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8550","Daniel","Amiano","","","Hombre","","","1963","","Buenos Aires","Escritura","Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8782","José","Amícola","","","Hombre","","","1942","","Capital Federal","Escritura","No ficción|Traducción","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","","",""
"8551","Irene","Amuchástegui","","","Hombre","","","1967","","Capital Federal","Escritura","No ficción","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8552","Esteban Gabriel","Anadón","","","Hombre","","","1962","","Córdoba","Escritura","Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8553","Pablo","Anadón","","","Hombre","","","1963","","Córdoba","Escritura","No ficción|Poesía|Traducción","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8554","Federico","Andahazi","","","Hombre","06/06/1963","","1963","","Capital Federal","Escritura","Narrativa","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","Wikipedia en español","https://es.wikipedia.org/wiki/Federico_Andahazi",""
"9613","Osvaldo","Andéchaga","","","Hombre","12/12/1954","","1954","","Capital Federal","Audiovisual","Dirección cinematográfica","Cine argentino. Diccionario de realizadores contemporáneos. 1987","Wikipedia en español|Internet Movie Database (IMDb)|Cine Nacional","https://es.wikipedia.org/wiki/Osvaldo_And%C3%A9chaga|http://www.imdb.com/name/nm0029321/|http://www.cinenacional.com/persona/osvaldo-andechaga",""
"8783","Enrique","Anderson Imbert","","","Hombre","12/02/1910","06/12/2000","1910","2000","Córdoba","Escritura","No ficción|Narrativa","Diccionario de autores latinoamericanos. 2001|Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","Wikipedia en español","https://es.wikipedia.org/wiki/Enrique_Anderson_Imbert",""
"8555","María del Rosario","Andrada","","","Mujer","","","1954","","Catamarca","Escritura","Narrativa|Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8970","Olegario Víctor","Andrade","","","Hombre","06/03/1839","30/10/1882","1839","1882","Brasil","Escritura","Periodismo|Poesía","Biografías sintéticas de autores argentinos. 1940|Diccionario de autores latinoamericanos. 2001","Wikipedia en español","https://es.wikipedia.org/wiki/Olegario_V%C3%ADctor_Andrade",""
"8556","Nora","Andrade","","","Mujer","","","1947","","Capital Federal","Escritura","Dramaturgia","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8557","Esther","Andradi","","","Mujer","","","1950","","Santa Fe","Escritura","Narrativa|Periodismo","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8558","Vanna","Andreini","","","Mujer","","","1969","","Italia","Escritura","Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8784","Alfredo","Andrés","","","Hombre","25/08/1934","","1934","","Capital Federal","Escritura|Audiovisual","Dirección cinematográfica|No ficción|Periodismo|Poesía","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","Cine Nacional","http://www.cinenacional.com/persona/alfredo-andres",""
"8559","María Teresa","Andruetto","","","Mujer","","","1954","","Córdoba","Escritura","No ficción|Narrativa|Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8560","Guillermo","Angelelli","","","Hombre","","","1961","","Córdoba","Escritura","Dramaturgia","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8796","Héctor Miguel","Ángeli","","","Hombre","","","1930","","Capital Federal","Escritura","Poesía|Traducción","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","","",""
"8561","Diego","Angelino","","","Hombre","","","1944","","Entre Ríos","Escritura","Narrativa|Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8797","Roberto","Anglade","","","Hombre","","","1950","","Santiago del Estero","Escritura","Narrativa|Poesía","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","","",""
"9612","Manuel","Antín","","","Hombre","27/02/1926","","1926","","Chaco","Escritura|Audiovisual","Guionista|Dirección cinematográfica|Dramaturgia|Narrativa|Poesía","Cine argentino. Diccionario de realizadores contemporáneos. 1987","Wikipedia en español|Cine Nacional|Internet Movie Database (IMDb)|Fundación Konex","https://es.wikipedia.org/wiki/Manuel_Ant%C3%ADn|http://www.cinenacional.com/persona/manuel-antin|http://www.imdb.com/name/nm0031075/|http://www.fundacionkonex.com.ar/b842-manuel_ant%C3%ADn",""
"8798","Carlos","Antognazzi","","","Hombre","14/05/1963","","1963","","Santa Fe","Escritura","Narrativa|Periodismo|Poesía","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","Wikipedia en español","https://es.wikipedia.org/wiki/Carlos_Antognazzi",""
"8799","Oscar Ricardo","Anzorena","","","Hombre","","","1952","","Buenos Aires","Escritura","No ficción|Periodismo","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","","",""
"8800","Carlos Hugo","Aparicio","","","Hombre","20/06/1935","02/04/2015","1935","2015","Jujuy","Escritura","Narrativa|Poesía","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","Cine Nacional","http://www.cinenacional.com/persona/carlos-hugo-aparicio",""
"8563","Ignacio ","Apolo","","","Hombre","","","1969","","Capital Federal","Escritura","Dramaturgia|Narrativa","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8564","Ariel","Arango","","","Hombre","","","1941","","Santa Fe","Escritura","No ficción","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8565","Graciela Nidia","Aráoz","","","Mujer","","","1955","","San Luis","Escritura","No ficción|Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8566","Inés","Aráoz","","","Mujer","","","1945","","Tucumán","Escritura","Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"9758","Gregorio","Aráoz Alfaro","","","Hombre","08/06/1870","26/07/1955","1870","1955","Tucumán","Escritura","No ficción","Biografías sintéticas de autores argentinos. 1940","Wikipedia en español","https://es.wikipedia.org/wiki/Gregorio_Ar%C3%A1oz_Alfaro",""
