texto,recuento,REVISAR,Artes escénicas: ,Artes escénicas: Coreografía,Artes escénicas: Pantomima,Artes escénicas: Títeres/marionetas,Artes visuales: ,Artes visuales: Arquitectura,Artes visuales: Cerámica,Artes visuales: Dibujo,Artes visuales: Escultura,Artes visuales: Grabado,Artes visuales: Orfebrería,Artes visuales: Pintura,Artes visuales: Tapiz,Artes visuales: Otras artes visuales,Audiovisual: ,Audiovisual: Animación,Audiovisual: Guionista,Audiovisual: Intérprete,Audiovisual: Productor,Audiovisual: Dirección cinematográfica,Audiovisual: Dirección televisiva,Audiovisual: Otras artes audiovisuales,Escritura: ,Escritura: Crónica,Escritura: Historietista,Escritura: Dramaturgia,Escritura: No ficción,Escritura: Narrativa,Escritura: Periodismo,Escritura: Poesía,Escritura: Traducción,Escritura: Otras artes literarias,Fotografía: ,Música: ,Música: Autor de letra,Música: Autor de música,Música: Adaptación,Música: Arreglos
especializada en filología moderna,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crítica litemia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
letras por la universidad complutense de madrid,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
periodista egresada de la universidad del salvador,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
investigador de la universidad de buenos aires,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
periodista estrechamente vinculado a la radio,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cuentos para niños,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
autor de cuentos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
librera,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
investigador de literatura argentina de la universidad de buenos aires,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
graduada en medios de comunicación social con especialización en bibliotecología,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
