field_nombres,field_apellidos,field_fecha_de_nacimiento,field_fecha_de_muerte,field_a_o_nacimiento,field_a_o_muerte,pais_nacimiento,url_name,sexo,disciplina,fuente,subdisciplina,enlace,enlace_url
Carolina,Cazes,,,1970,,Capital Federal,,Mujer,1,409,121,Wikipedia en español,http://prueba.org.ar
Héctor,Medina,,,1952,1996,Buenos Aires,,Hombre,1,409,121,Wikipedia en español,https://es.wikipedia.org/wiki/Emeterio_Cerro
